product_id,product_name,category,price,rating
1,WHITE HANGING HEART T-LIGHT HOLDER,Gifts,2.55,4.6
2,WHITE METAL LANTERN,Office,3.39,4.2
3,CREAM CUPID HEARTS COAT HANGER,Home Decor,2.75,3.0
4,KNITTED UNION FLAG HOT WATER BOTTLE,Home Decor,3.39,4.7
5,RED WOOLLY HOTTIE WHITE HEART.,Accessories,3.39,4.9
6,SET 7 BABUSHKA NESTING BOXES,Accessories,7.65,4.0
7,GLASS STAR FROSTED T-LIGHT HOLDER,Accessories,4.25,3.7
8,HAND WARMER UNION JACK,Home Decor,1.85,3.6
9,HAND WARMER RED POLKA DOT,Accessories,1.85,4.7
10,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,1.69,4.7
11,POPPY'S PLAYHOUSE BEDROOM ,Kitchen,2.1,3.9
12,POPPY'S PLAYHOUSE KITCHEN,Home Decor,2.1,4.3
13,FELTCRAFT PRINCESS CHARLOTTE DOLL,Office,3.75,4.7
14,IVORY KNITTED MUG COSY ,Accessories,1.65,4.0
15,BOX OF 6 ASSORTED COLOUR TEASPOONS,Gifts,4.25,3.8
16,BOX OF VINTAGE JIGSAW BLOCKS ,Home Decor,4.95,3.9
17,BOX OF VINTAGE ALPHABET BLOCKS,Gifts,9.95,3.9
18,HOME BUILDING BLOCK WORD,Kitchen,5.95,3.6
19,LOVE BUILDING BLOCK WORD,Office,5.95,3.1
20,RECIPE BOX WITH METAL HEART,Office,7.95,4.9
21,DOORMAT NEW ENGLAND,Home Decor,7.95,3.3
22,JAM MAKING SET WITH JARS,Kitchen,4.25,3.1
23,RED COAT RACK PARIS FASHION,Kitchen,4.95,5.0
24,YELLOW COAT RACK PARIS FASHION,Gifts,4.95,3.7
25,BLUE COAT RACK PARIS FASHION,Kitchen,4.95,3.8
26,BATH BUILDING BLOCK WORD,Gifts,5.95,4.4
27,ALARM CLOCK BAKELIKE PINK,Accessories,3.75,4.3
28,ALARM CLOCK BAKELIKE RED ,Home Decor,3.75,4.4
29,ALARM CLOCK BAKELIKE GREEN,Accessories,3.75,3.4
30,PANDA AND BUNNIES STICKER SHEET,Office,0.85,4.5
31,STARS GIFT TAPE ,Kitchen,0.65,4.6
32,INFLATABLE POLITICAL GLOBE ,Office,0.85,3.9
33,VINTAGE HEADS AND TAILS CARD GAME ,Accessories,1.25,4.4
34,SET/2 RED RETROSPOT TEA TOWELS ,Kitchen,2.95,3.3
35,ROUND SNACK BOXES SET OF4 WOODLAND ,Kitchen,2.95,4.3
36,SPACEBOY LUNCH BOX ,Home Decor,1.95,4.5
37,LUNCH BOX I LOVE LONDON,Kitchen,1.95,4.3
38,CIRCUS PARADE LUNCH BOX ,Office,1.95,4.0
39,CHARLOTTE BAG DOLLY GIRL DESIGN,Accessories,0.85,3.4
40,RED TOADSTOOL LED NIGHT LIGHT,Kitchen,1.65,3.4
41, SET 2 TEA TOWELS I LOVE LONDON ,Home Decor,2.95,4.3
42,VINTAGE SEASIDE JIGSAW PUZZLES,Gifts,3.75,4.8
43,MINI JIGSAW CIRCUS PARADE ,Office,0.42,4.2
44,MINI JIGSAW SPACEBOY,Accessories,0.42,3.9
45,MINI PAINT SET VINTAGE ,Accessories,0.65,3.1
46,POSTAGE,Kitchen,18.0,4.9
47,PAPER CHAIN KIT 50'S CHRISTMAS ,Kitchen,2.55,4.7
48,EDWARDIAN PARASOL RED,Kitchen,4.95,4.5
49,RETRO COFFEE MUGS ASSORTED,Gifts,1.06,4.7
50,SAVE THE PLANET MUG,Office,1.06,3.9
51,VINTAGE BILLBOARD DRINK ME MUG,Home Decor,1.06,3.7
52,VINTAGE BILLBOARD LOVE/HATE MUG,Home Decor,1.06,3.4
53,WOOD 2 DRAWER CABINET WHITE FINISH,Kitchen,4.95,3.6
54,WOOD S/3 CABINET ANT WHITE FINISH,Home Decor,6.95,3.4
55,WOODEN PICTURE FRAME WHITE FINISH,Gifts,2.1,4.2
56,WOODEN FRAME ANTIQUE WHITE ,Gifts,2.55,4.8
57,VICTORIAN SEWING BOX LARGE,Accessories,10.95,4.1
58,HOT WATER BOTTLE TEA AND SYMPATHY,Kitchen,3.45,4.2
59,RED HANGING HEART T-LIGHT HOLDER,Office,2.55,3.0
